k,genes,combo_auc,best_individual_auc,synergy_score
3,SMG1P5 | MAP3K2-DT | NR4A1,0.6133,0.5473,0.066
3,SMG1P5 | ANGPT2 | NR4A1,0.6116,0.5986,0.013
3,ANGPT2 | SNORD97 | LOC112268270,0.6116,0.5986,0.013
3,MAP3K2-DT | ENSG00000279656 | LOC112268270,0.6097,0.5421,0.0676
3,ANGPT2 | MAP3K2-DT | TINAGL1,0.608,0.5986,0.0094
3,ANGPT2 | MAP3K2-DT | LOC112268270,0.6069,0.5986,0.0083
3,ANGPT2 | MAP3K2-DT | SNORD97,0.6057,0.5986,0.0071
3,ANGPT2 | CKMT2 | LOC112268270,0.6053,0.5986,0.0067
3,MAP3K2-DT | SNORD97 | ENSG00000279656,0.6047,0.5698,0.0349
3,ANGPT2 | NR4A1 | LOC112268270,0.6044,0.5986,0.0058
3,ANGPT2 | TINAGL1 | LOC112268270,0.6043,0.5986,0.0057
3,SMG1P5 | SNORD97 | CKMT2,0.5999,0.5891,0.0108
3,SMG1P5 | MAP3K2-DT | ENSG00000279656,0.5996,0.5421,0.0575
3,SMG1P5 | SNORD97 | TINAGL1,0.5981,0.5698,0.0283
3,MAP3K2-DT | SNORD97 | CKMT2,0.5956,0.5891,0.0065
3,ANGPT2 | TINAGL1 | CKMT2,0.5951,0.5986,-0.0035
3,ANGPT2 | SNORD97 | TINAGL1,0.5917,0.5986,-0.0069
3,SMG1P5 | ANGPT2 | CKMT2,0.5853,0.5986,-0.0133
3,SMG1P5 | ANGPT2 | SNORD97,0.5847,0.5986,-0.0139
3,MAP3K2-DT | TINAGL1 | CKMT2,0.5831,0.5891,-0.006
3,SNORD97 | CKMT2 | LOC112268270,0.5823,0.5891,-0.0068
3,SMG1P5 | MAP3K2-DT | CKMT2,0.5813,0.5891,-0.0078
3,SNORD97 | TINAGL1 | CKMT2,0.5753,0.5891,-0.0138
3,SMG1P5 | ANGPT2 | MAP3K2-DT,0.5748,0.5986,-0.0238
3,SMG1P5 | CKMT2 | LOC112268270,0.5746,0.5891,-0.0145
3,MAP3K2-DT | SNORD97 | TINAGL1,0.5742,0.5698,0.0044
3,SMG1P5 | SNORD97 | LOC112268270,0.5738,0.5698,0.004
