n_features,mean_auc
1,0.6136540699645207
2,0.6858915617726153
3,0.7015081580077287
4,0.7439196289349393
5,0.7711738152810106
6,0.7977523106822445
7,0.8432137126844591
8,0.8543758898103997
9,0.8452534970961108
10,0.8610602020293326
11,0.8665030168809744
12,0.8691275338410434
13,0.8891722785925742
14,0.8964142053286931
15,0.8963944317642539
16,0.8978698221509118
17,0.9119802377347405
18,0.9145906307202096
19,0.9173967819936273
20,0.921446690470272
21,0.9260350048586472
22,0.9356090822806264
23,0.9542301303925335
24,0.9608938216085512
25,0.9620861675442363
26,0.9644640799077987
27,0.9651205622471808
28,0.9636581659171544
29,0.9653437210458522
30,0.9655697046394431
31,0.9685007118483199
32,0.9732065377053626
33,0.9748276875098869
34,0.9780586879392557
35,0.9814481593636302
36,0.9851850805631512
37,0.9879920792750447
38,0.9899157646154888
39,0.989529897629432
40,0.9899135047795531
41,0.9898773474045784
42,0.9909948362748864
43,0.9926883008293597
44,0.9915256152403336
45,0.9910648911888998
46,0.9914078212921742
47,0.992527569998418
48,0.993064845992181
49,0.99426058168177
50,0.9937959029174482
51,0.9935685069263972
52,0.9926874533908838
53,0.993495627217464
54,0.9916840862353393
55,0.992611748887031
56,0.9935275474000587
57,0.9950020903482407
58,0.9936512734175498
59,0.9938063546586517
60,0.9937597455424736
61,0.9961537592370794
62,0.9964608144448712
63,0.9963848274615262
64,0.9957636550586427
65,0.9960777722537344
66,0.9965331291948205
67,0.9952320286547197
68,0.9965359539897403
69,0.9971130595918737
70,0.9969195611398612
71,0.9973048631669341
72,0.9976523129420805
73,0.9970356602110687
74,0.9973429978983525
75,0.9979983503197667
76,0.9988850534451197
77,0.9983045580890828
78,0.9989627353054168
79,0.9988090664617749
80,0.9986520078642289
81,0.9980364850511853
82,0.9987681069354366
83,0.9980390273666131
84,0.9983054055275588
85,0.9977311247203453
86,0.9981910013333032
87,0.9979624754242842
88,0.9986150030507785
89,0.9982322433391335
90,0.9983844997853156
91,0.9976542902985244
92,0.998731949560462
93,0.9979254706108336
94,0.9983466475333891
95,0.9981531490813766
96,0.9988455063162414
97,0.9980387448871211
98,0.9991528440035253
99,0.998882793609184
100,0.9984972091026192
101,0.9986912725136154
102,0.9985367562314975
103,0.9980737723441278
104,0.9984969266231272
105,0.9984181148448623
106,0.9991135793541389
107,0.9987271474090982
108,0.998804829269395
109,0.9991898488169759
110,0.9992680956362567
111,0.999112449436171
112,0.9989214932995865
113,0.9983051230480667
114,0.9990395697272378
115,0.9980359200922013
116,0.9990757271022123
117,0.9981881765383834
118,0.9988076540643149
119,0.9980757497005717
120,0.9988822286501999
121,0.9980732073851438
122,0.9987322320399539
123,0.9984986215000792
124,0.9991534089625093
125,0.9988062416668549
126,0.9991542564009853
127,0.9986141556123027
128,0.9993839122279724
129,0.9987669770174685
130,0.998883076088676
131,0.9986895776366636
132,0.9990754446227204
133,0.9990375923707939
134,0.9990751621432284
135,0.9985751734424081
136,0.9985361912725136
137,0.9986110483378907
138,0.999113014395155
139,0.998959910510497
140,0.9989209283406024
141,0.9990757271022124
142,0.9993830647894963
143,0.998575173442408
144,0.9989986102008995
145,0.9989209283406024
146,0.9991514316060653
147,0.9982667058371563
148,0.9991519965650493
149,0.9986121782558586
150,0.9988435289597974
151,0.9981124720345302
152,0.9988418340828457
153,0.9986508779462611
154,0.9984972091026192
155,0.9980737723441278
156,0.9984966441436353
157,0.9986127432148425
158,0.9985361912725137
159,0.9986508779462611
160,0.9985342139160697
161,0.9983426928205013
162,0.9985361912725136
163,0.9987279948475741
164,0.9988449413572574
165,0.9983819574698878
166,0.9986890126776796
167,0.9983816749903957
168,0.9988039818309191
169,0.9987658470995007
170,0.9984593568506925
171,0.9986508779462611
172,0.9988051117488871
173,0.997613048292694
174,0.9980350726537253
175,0.9982294185442138
176,0.9983412804230412
177,0.997766999615828
178,0.9979579557524122
179,0.9982650109602045
180,0.9981497593274729
181,0.9976116358952339
182,0.9983426928205013
183,0.9979963729633228
184,0.9983813925109036
185,0.9974568371336241
186,0.9977667171363358
187,0.9985748909629161
188,0.9981887414973671
189,0.9983429752999932
190,0.998148911888997
191,0.9980353551332174
192,0.9982661408781721
193,0.9981890239768593
194,0.9983054055275588
195,0.9983435402589773
196,0.9984980565410952
197,0.9985748909629161
198,0.9984593568506925
199,0.9990367449323179
200,0.9984192447628303
201,0.9984206571602903
202,0.9985746084834239
203,0.9982672707961402
204,0.998498339020587
205,0.9976884703170551
206,0.9984977740616031
207,0.9976514655036045
208,0.9980743373031118
209,0.9979972204017988
210,0.9981124720345302
211,0.9978068292241984
212,0.9979602155883482
213,0.9978822512485594
214,0.9984212221192742
215,0.9978443989966328
216,0.9981525841223927
217,0.9978825337280514
218,0.9980370500101692
219,0.9979596506293642
220,0.9981907188538113
221,0.9979590856703803
222,0.9982667058371563
223,0.99857686831936
224,0.9986144380917945
225,0.9979201035004859
226,0.9978054168267384
227,0.9978429865991728
228,0.9979972204017988
229,0.9979232107748978
230,0.9976116358952339
231,0.9983822399493796
232,0.9976517479830964
233,0.9974198323201737
234,0.9978449639556167
235,0.9973819800682471
236,0.9984980565410952
237,0.9973048631669341
238,0.997537343788841
239,0.9976910126324829
240,0.9980740548236199
241,0.9972271813066371
242,0.9979206684594699
243,0.9972658809970396
244,0.997764739779892
245,0.997533954034937
246,0.9970729475040112
247,0.9975749135612754
248,0.9973802851912952
249,0.997841574201713
250,0.9974184199227135
251,0.9975718062868637
252,0.9971879166572506
253,0.9971873516982667
254,0.9973410205419085
255,0.9974181374432216
256,0.9973396081444488
257,0.9974551422566723
258,0.9976867754401031
259,0.9970723825450272
260,0.9976881878375629
261,0.9973418679803846
262,0.9973800027118032
263,0.9971879166572508
264,0.997106280084066
265,0.9970325529366567
266,0.9971469571309122
267,0.9967639149397755
268,0.9969927233282864
269,0.9973413030214007
270,0.9968774716955551
271,0.9974579670515921
272,0.9967636324602834
273,0.9973407380624166
274,0.9968410318410884
275,0.997533954034937
276,0.9963026259293575
277,0.9973797202323113
278,0.9972243565117171
279,0.9970712526270592
280,0.9970715351065513
281,0.9965729588031909
282,0.9966890578743983
283,0.9970339653341167
284,0.9969944182052382
285,0.9972655985175477
286,0.9969189961808773
287,0.9966851031615104
288,0.9971110822354297
289,0.9971110822354298
290,0.9970342478136087
291,0.9973020383720141
292,0.9973023208515063
293,0.996801767191702
294,0.9957653499355947
295,0.9975723712458476
