k,genes,lgbm_auc,lr_auc,best_individual_auc,synergy_score
4,ENSG00000268955 | SFRP1 | DACT2 | ENSG00000264490,0.7371,0.7466,0.5875,0.1496
4,ENSG00000268955 | MYH14 | C14orf93 | SHKBP1,0.7366,0.7374,0.5754,0.1612
4,ENSG00000268955 | NDST1 | SDS | SHKBP1,0.7328,0.7335,0.5754,0.1574
4,ENSG00000268955 | OAS2 | ENSG00000272123 | XAF1,0.7325,0.7361,0.5754,0.1571
4,HMGB1P21 | ENSG00000268955 | NDST1 | SHKBP1,0.7311,0.7343,0.5754,0.1557
4,SOX18 | NDST1 | LSR | SHKBP1,0.7303,0.7195,0.563,0.1674
4,TERB1 | ENSG00000268955 | NDST1 | SHKBP1,0.73,0.734,0.5754,0.1546
4,FUT3 | ENSG00000268955 | OAS3 | OAS2,0.7298,0.7373,0.5754,0.1544
4,GUCY2D | ENSG00000268955 | OAS2 | XAF1,0.7297,0.7497,0.5809,0.1487
4,FUT3 | NDST1 | EDN3 | SHKBP1,0.7278,0.7317,0.5671,0.1607
4,ENSG00000286065 | ENSG00000268955 | OAS2 | XAF1,0.7275,0.7439,0.5845,0.143
4,MAP3K2-DT | ENSG00000268955 | OAS2 | XAF1,0.7271,0.738,0.5754,0.1517
4,ENSG00000268955 | OAS3 | OAS2 | ENSG00000278492,0.7266,0.7384,0.5754,0.1512
4,ENSG00000268955 | OAS3 | OAS2 | MACROD1,0.7262,0.7452,0.5754,0.1508
4,ENSG00000268955 | FAM30A | MYH14 | C14orf93,0.7255,0.7327,0.5754,0.15
4,ABCG2 | NDST1 | EDN3 | SHKBP1,0.7254,0.7196,0.5624,0.163
4,ENSG00000268955 | OAS3 | OAS2 | SFRP1,0.7222,0.7374,0.576,0.1462
4,ENSG00000268955 | ENSG00000256588 | NDST1 | SHKBP1,0.7222,0.7323,0.5754,0.1468
4,ENSG00000268955 | OAS3 | OAS2 | ENSG00000267074,0.722,0.7534,0.5933,0.1287
4,ENSG00000286065 | TM4SF18 | MYH14 | PSTPIP1,0.7214,0.757,0.5882,0.1332
4,SMAD6 | ENSG00000268955 | OAS2 | XAF1,0.721,0.7465,0.5815,0.1395
4,ENSG00000286065 | TM4SF18 | VESTAR | PSTPIP1,0.7166,0.7506,0.5904,0.1263
4,ENSG00000268955 | ENSG00000286241 | OAS2 | XAF1,0.713,0.7403,0.5754,0.1376
4,ENSG00000286065 | ENSG00000268955 | OAS3 | OAS2,0.7108,0.7468,0.5845,0.1263
4,SEMA7A | MYH14 | C14orf93 | SHKBP1,0.7107,0.7229,0.5625,0.1482
4,ENSG00000268955 | NDST1 | LOC102724652 | SHKBP1,0.7075,0.7317,0.5754,0.1321
4,ENSG00000279656 | ENSG00000268955 | OAS3 | OAS2,0.7056,0.7328,0.5754,0.1302
4,ENSG00000268955 | OAS3 | OAS2 | LOC102724652,0.7042,0.7394,0.5754,0.1288
4,ENSG00000268955 | OAS3 | OAS2 | SDS,0.7035,0.7352,0.5754,0.1281
4,ENSG00000268955 | OAS3 | ENSG00000286241 | OAS2,0.6958,0.7352,0.5754,0.1204
4,GUCY2D | ENSG00000268955 | OAS3 | OAS2,0.692,0.7394,0.5809,0.1111
4,ENSG00000268955 | OAS3 | OAS2 | ENSG00000272123,0.6855,0.7328,0.5754,0.1101
4,MYH14 | LSR | C14orf93 | SHKBP1,0.6843,0.7251,0.563,0.1214
4,HMGB1P21 | MYH14 | C14orf93 | SHKBP1,0.6828,0.7312,0.5737,0.1091
4,ENSG00000268955 | OAS3 | FAM30A | OAS2,0.6754,0.7337,0.5754,0.1
4,ENSG00000268955 | OAS3 | OAS2 | RPL7L1P9,0.6747,0.7367,0.5754,0.0993
4,FAM30A | MYH14 | C14orf93 | SHKBP1,0.6504,0.7228,0.5625,0.0879
4,OAS3 | ENSG00000286241 | CMAHP | OAS2,0.6362,0.7152,0.5582,0.078
4,OAS3 | FAM30A | OAS2 | CKLF-CMTM1,0.6165,0.7148,0.5569,0.0596
