cohort,n,n_pos,AUC,brier,log_loss,ECE_10bin,mean_score_pos,mean_score_neg
GPL24676_5foldCV,874,684,0.9605,0.0657,0.2897,0.0489,0.9522,0.2446
GPL16791_zeroshot,636,546,0.7824,0.1351,0.9354,0.1333,0.9149,0.5891
