n_features,mean_auc
1,0.6596280310049492
2,0.6864305326433301
3,0.7469845314230186
4,0.7452647962757903
5,0.7695972972362206
6,0.7860441006982893
7,0.8290041467989424
8,0.841160369257192
9,0.8458441617138597
10,0.8594825540665747
11,0.8713763530767666
12,0.8975557049558202
13,0.9103285801450814
14,0.9080176154211204
15,0.9106093647601183
16,0.9136098619240244
17,0.9123593252129896
18,0.9207410566992836
19,0.9290501909561366
20,0.9257098709633681
21,0.9255434905425866
22,0.931785722356557
23,0.9501384149510745
24,0.9497898352579602
25,0.9550984723509073
26,0.9535840997943549
27,0.961456238277101
28,0.9504288038688392
29,0.9611152855302706
30,0.9611808207724118
31,0.9675018643646471
32,0.9644539106460872
33,0.9701605613432465
34,0.9640366884364194
35,0.9745533999231656
36,0.9701560416713747
37,0.9754773903414613
38,0.9769437413843756
39,0.9780194232898692
40,0.9781332625251407
41,0.9754338884996949
42,0.9778663194052113
43,0.9793312580506655
44,0.9787137578811779
45,0.9784795823823191
46,0.9787945470158868
47,0.9792883211678834
48,0.9806738830760887
49,0.9790999073467267
50,0.9817227294298434
51,0.9823385347223791
52,0.9854975028812909
53,0.9816439176515785
54,0.9898818670764502
55,0.9883124110189601
56,0.9895674674018669
57,0.9893025016383812
58,0.9908374951978487
59,0.9894979774468373
60,0.9919911414431312
61,0.9937306501547989
62,0.992760333099817
63,0.9908456871031163
64,0.9925696594427244
65,0.9939224537298592
66,0.9949594359449504
67,0.9923852003344557
68,0.994997005717385
69,0.9952297688187837
70,0.9957678922510226
71,0.9966529004994238
72,0.9963051682447854
73,0.9953074506790808
74,0.9964599670063953
75,0.9969986553976181
76,0.9966543128968837
77,0.9965780434340468
78,0.9967328421956566
79,0.9969235158527491
80,0.997308252920838
81,0.9958848387607059
82,0.9965017739712095
83,0.9955402137804796
84,0.9967325597161647
85,0.9949261033648957
86,0.9956938826241215
87,0.9955427560959075
88,0.9960031976678494
89,0.9955040564055049
90,0.9973079704413459
91,0.9956958599805654
92,0.9971545840771959
93,0.9963865223384782
94,0.9978847935639873
95,0.9965410386205962
96,0.9975766084382274
97,0.9958879460351179
98,0.9972322659374928
99,0.9975393211452849
100,0.9976158730876138
101,0.9980384624076292
102,0.9976557026959842
103,0.998039309846105
104,0.9981531490813766
105,0.9984621816456125
106,0.998345517615421
107,0.9983850647442996
108,0.9983853472237915
109,0.9986929673905675
110,0.9987692368534045
111,0.9983847822648075
112,0.9987698018123885
113,0.9976562676549683
114,0.9985398635059095
115,0.9977333845562812
116,0.9985774332783439
117,0.9977319721588213
118,0.9988469187137013
119,0.9971559964746559
120,0.9988090664617747
121,0.9979234932543897
122,0.9992689430747328
123,0.9976155906081219
124,0.9991932385708797
125,0.9980378974486452
126,0.9988449413572574
127,0.9973853698221508
128,0.9985751734424081
129,0.9985754559219002
130,0.9982667058371563
131,0.9984602042891686
132,0.9986892951571715
133,0.9985376036699736
134,0.9985364737520056
135,0.9978062642652145
136,0.9983833698673477
137,0.9979593681498724
138,0.9986141556123027
139,0.9984610517276444
140,0.998575738401392
141,0.9986918374725995
142,0.9986147205712864
143,0.9974229395945855
144,0.9985774332783439
145,0.9978836636460192
146,0.9987686718944204
147,0.9969986553976181
148,0.9991926736118959
149,0.9980003276762108
150,0.9988082190232989
151,0.9984618991661206
152,0.9984989039795712
153,0.9984618991661206
154,0.998807371584823
155,0.9985381686289575
156,0.9987683894149285
157,0.9981144493909742
158,0.9987294072450341
159,0.9986150030507787
160,0.9987669770174685
161,0.9987672594969605
162,0.9985361912725136
163,0.9981511717249327
164,0.9979599331088563
165,0.9981907188538113
166,0.9983071004045107
167,0.9977288648844095
168,0.9981924137307632
169,0.9980763146595557
