gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
GO_Biological_Process_2023,prerank,Muscle Cell Development (GO:0055001),0.33753563159350863,1.0434524677554342,0.4019607843137255,0.46171270991062185,1.0,10/30,25.78%,ENG;IGF1;RAMP2;CXADR;CHRNB1;HEY2;MEGF10;HES1;MYH6;SLC8A1
GO_Biological_Process_2023,prerank,Neurogenesis (GO:0022008),-0.2882684893343742,-1.043353994703036,0.3380681818181818,0.7437486270299997,1.0,13/44,13.87%,DCHS1;NTN5;TRAK1;WDR62;CIT;MAPT;ROGDI;CDK5RAP2;NEUROD1;BTBD6;EPHB1;PRDM12;PCSK9
GO_Biological_Process_2023,prerank,Cellular Response To Forskolin (GO:1904322),0.44500656301075403,1.0429934244052668,0.41535776614310643,0.462157692744865,1.0,6/10,23.49%,AHR;ADCY8;GNAI1;CFTR;ADCY2;CREB1
GO_Biological_Process_2023,prerank,Response To Forskolin (GO:1904321),0.44500656301075403,1.0429934244052668,0.41535776614310643,0.462157692744865,1.0,6/10,23.49%,AHR;ADCY8;GNAI1;CFTR;ADCY2;CREB1
GO_Biological_Process_2023,prerank,Positive Regulation Of Transcription By RNA Polymerase III (GO:0045945),0.4064754744391473,1.0429293231205565,0.42905982905982903,0.4620840826377516,1.0,6/14,20.42%,DDX21;SMARCA5;DEK;ZNF143;SF3B1;ICE2
GO_Biological_Process_2023,prerank,DNA Biosynthetic Process (GO:0071897),0.3931814842381548,1.0424269021203298,0.39929947460595444,0.4627823739662628,1.0,5/15,15.46%,RRM2B;RRM1;TYMS;SIRT1;POLD2
GO_Biological_Process_2023,prerank,GPI Anchor Metabolic Process (GO:0006505),0.3449912824309995,1.0416236300854371,0.3943894389438944,0.4640289076593321,1.0,13/27,23.64%,DPM3;DPM1;SLC30A5;PIGA;PIGB;PIGH;PIGC;PGF;PIGP;PIGM;PIGW;PIGV;PGAP1
GO_Biological_Process_2023,prerank,Positive Regulation Of Cyclin-Dependent Protein Kinase Activity (GO:1904031),-0.3774666865603209,-1.0415539363539061,0.415,0.745657653229447,1.0,2/15,1.47%,PKD1;TTBK1
GO_Biological_Process_2023,prerank,Long-Chain Fatty Acid Biosynthetic Process (GO:0042759),0.3616948689844014,1.041167600600116,0.3926174496644295,0.46463158041346253,1.0,10/21,27.92%,GSTP1;ALOX15B;GPX4;ASAH2;ALOX5;LTC4S;FADS1;GSTM2;CYP3A4;GSTM4
GO_Biological_Process_2023,prerank,Neural Crest Cell Development (GO:0014032),0.3068084060999853,1.040712484891643,0.3889789303079417,0.4652427076329756,1.0,14/42,18.22%,SEMA3D;CORO1C;SEMA3C;SEMA3E;SEMA5A;PEF1;KLHL12;HTR2B;SEMA3B;SEMA3A;SEMA6D;SOX10;NOLC1;TAPT1
