Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,gene_set_name
DisGeNET,Glioma,2/2211,0.0339500776558321,0.0682051954288281,0,0,16.105024898143956,54.48111116342804,CLDN5;ANGPT2,down_in_ALS
DisGeNET,Ductal Carcinoma,1/230,0.0341062602379687,0.0682051954288281,0,0,43.16157205240175,145.81163077116312,ANGPT2,down_in_ALS
DisGeNET,"Anemia, Sickle Cell",1/231,0.034252829422407,0.0682051954288281,0,0,42.971739130434784,144.98605081167062,ANGPT2,down_in_ALS
DisGeNET,IGA Glomerulonephritis,1/237,0.0351319331983953,0.0690361765893029,0,0,41.86652542372882,140.19612200008046,ANGPT2,down_in_ALS
DisGeNET,"Hepatitis B, Chronic",1/238,0.0352783986095116,0.0690361765893029,0,0,41.687763713080166,139.4240770668133,ANGPT2,down_in_ALS
DisGeNET,Chondrosarcoma,1/241,0.0357177059161049,0.0692984550679984,0,0,41.16041666666667,137.15098449199263,ANGPT2,down_in_ALS
DisGeNET,Diabetic Retinopathy,1/247,0.0365959204305802,0.0704006265910314,0,0,40.14430894308943,132.79008813019155,ANGPT2,down_in_ALS
DisGeNET,Neuroendocrine Tumors,1/257,0.0380584261648899,0.0719938561619167,0,0,38.556640625,126.0274990245008,ANGPT2,down_in_ALS
DisGeNET,Urothelial Carcinoma,1/257,0.0380584261648899,0.0719938561619167,0,0,38.556640625,126.0274990245008,CLDN5,down_in_ALS
DisGeNET,Renal Insufficiency,1/263,0.0389352187881923,0.0727168433704209,0,0,37.662213740458014,122.24612510357572,ANGPT2,down_in_ALS
DisGeNET,Brain Ischemia,1/264,0.0390812990801381,0.0727168433704209,0,0,37.5171102661597,121.63464379076338,ANGPT2,down_in_ALS
DisGeNET,Essential Hypertension,1/278,0.0411248692084052,0.0758971163439674,0,0,35.5956678700361,113.59083966573888,ANGPT2,down_in_ALS
DisGeNET,Anaplasia,1/283,0.0418540129609808,0.076619846307602,0,0,34.955673758865245,110.9341935896518,ANGPT2,down_in_ALS
DisGeNET,"Aortic Aneurysm, Abdominal",1/288,0.0425827870062494,0.0767166083366557,0,0,34.33797909407666,108.38114088181122,ANGPT2,down_in_ALS
DisGeNET,Anoxia,1/288,0.0425827870062494,0.0767166083366557,0,0,34.33797909407666,108.38114088181122,ANGPT2,down_in_ALS
DisGeNET,Idiopathic pulmonary arterial hypertension,1/297,0.0438936489206369,0.078455577204603,0,0,33.27871621621622,104.02878903876676,ANGPT2,down_in_ALS
DisGeNET,Fibroid Tumor,1/310,0.0457850030466385,0.0811968413405229,0,0,31.857605177993527,98.2424409831854,ANGPT2,down_in_ALS
DisGeNET,Gastrointestinal Stromal Tumors,1/323,0.0476738613546165,0.0831135955037147,0,0,30.551242236024844,92.97879553067298,ANGPT2,down_in_ALS
DisGeNET,Kaposi Sarcoma,1/323,0.0476738613546165,0.0831135955037147,0,0,30.551242236024844,92.97879553067298,ANGPT2,down_in_ALS
DisGeNET,Heart Diseases,1/325,0.0479642335285754,0.0831135955037147,0,0,30.359567901234566,92.21110589098622,ANGPT2,down_in_ALS
DisGeNET,Secondary malignant neoplasm of bone,1/330,0.0486899057112653,0.0837318833064941,0,0,29.890577507598785,90.33780056075076,ANGPT2,down_in_ALS
DisGeNET,Non-alcoholic Fatty Liver Disease,1/334,0.0492701778997933,0.0840927096485194,0,0,29.525525525525527,88.88471357416256,ANGPT2,down_in_ALS
DisGeNET,Uterine Fibroids,1/349,0.0514440970882666,0.0871478361122128,0,0,28.23132183908046,83.7696594580619,ANGPT2,down_in_ALS
DisGeNET,Retinal Diseases,1/355,0.0523127360735498,0.0879628969533023,0,0,27.744350282485875,81.8601332704953,ANGPT2,down_in_ALS
DisGeNET,Presenile dementia,1/362,0.0533254777958585,0.0890064960269109,0,0,27.196675900277008,79.72273261492856,CLDN5,down_in_ALS
DisGeNET,Chronic Kidney Diseases,1/380,0.055926357335353,0.0918044334441948,0,0,25.88126649076517,74.63431289682613,ANGPT2,down_in_ALS
DisGeNET,Glaucoma,1/381,0.0560707108059883,0.0918044334441948,0,0,25.81184210526316,74.36757443187058,CLDN5,down_in_ALS
DisGeNET,Age related macular degeneration,1/382,0.0562150495539343,0.0918044334441948,0,0,25.742782152230973,74.10242030041539,ANGPT2,down_in_ALS
DisGeNET,Carcinoma breast stage IV,1/392,0.0576576279072301,0.0929355197705893,0,0,25.07161125319693,71.53514174450848,ANGPT2,down_in_ALS
DisGeNET,Ischemic stroke,1/394,0.057945967066687,0.0929355197705893,0,0,24.94147582697201,71.03941648110474,ANGPT2,down_in_ALS
DisGeNET,Rhabdomyosarcoma,1/397,0.0583783655231722,0.0929355197705893,0,0,24.748737373737374,70.30645841983815,ANGPT2,down_in_ALS
DisGeNET,"Carcinoma, Transitional Cell",1/399,0.0586665576490218,0.0929355197705893,0,0,24.621859296482413,69.82477205980416,CLDN5,down_in_ALS
DisGeNET,Vascular Diseases,1/401,0.0589546909557923,0.0929355197705893,0,0,24.49625,69.34854276226908,ANGPT2,down_in_ALS
DisGeNET,Inflammation,1/429,0.0629823860135367,0.0986000112073988,0,0,22.860981308411212,63.20833130646275,ANGPT2,down_in_ALS
