,MECOM,SERTAD1,FCN3,PROS1,ANGPT2,EMP1,TINAGL1,CKMT2,VWF,CLDN5,NR4A1,SOHLH2,HEXB,MCEE,SLC37A2
Kidney_Cortex,11.7803,13.2817,32.1472,17.2628,0.533557,8.58716,77.5631,10.6807,6.192769999999999,13.9476,49.9261,0.285988,32.1781,10.5704,0.6577149999999999
Kidney_Medulla,23.4125,19.7876,5.32862,13.2726,4.55846,27.7386,125.025,10.9429,5.7327900000000005,22.9151,56.7182,0.19256900000000002,40.4385,11.9221,1.30487
Liver,0.407267,6.769089999999999,65.8482,83.2325,0.279994,1.65455,8.25208,0.5865319999999999,1.08445,3.94309,15.0943,0.0,28.4281,14.9767,1.0067
Lung,15.5839,41.7608,1136.08,42.6549,3.7737300000000005,124.866,103.898,2.41055,211.239,284.623,195.57299999999998,0.051096300000000004,107.069,13.7389,9.376380000000001
Minor_Salivary_Gland,5.9538,12.4993,2.71557,17.7363,2.03188,56.7985,64.7664,5.34837,27.8444,18.6275,45.4126,0.07132580000000001,107.581,20.8738,38.708
Muscle_Skeletal,1.51415,9.92276,3.0651900000000003,2.9184400000000004,1.24476,9.90653,18.9625,441.926,30.7972,25.7139,88.8526,0.23497300000000002,19.1807,11.1175,0.35768099999999997
Nerve_Tibial,7.391369999999999,27.0318,2.21392,167.53099999999998,3.93195,117.24700000000001,81.8391,4.73076,95.7741,115.295,471.42199999999997,0.228064,68.9273,20.2757,5.79139
Ovary,1.9740900000000001,13.2277,1.93291,48.8307,2.3182099999999997,12.6752,30.4062,15.6219,38.2102,21.6144,808.072,0.137946,69.7822,19.0578,1.4370399999999999
Pancreas,8.43719,3.8029800000000002,6.3299900000000004,3.14284,0.207012,5.6666099999999995,11.3619,1.4975100000000001,10.2476,3.5094800000000004,14.7291,0.0325302,35.8027,11.1265,0.6708390000000001
Pituitary,1.87365,13.6839,2.98854,12.675999999999998,0.612412,13.9312,27.5153,6.474880000000001,7.4833300000000005,10.4786,309.233,0.32250700000000004,39.735,22.6678,2.27217
Prostate,6.46176,20.2726,4.72081,14.0802,3.08336,28.916,78.7377,5.941,52.0489,31.1986,225.377,0.727993,58.1553,20.2901,6.83957
Skin_Not_Sun_Exposed_Suprapubic,1.61952,23.1068,1.88885,22.4541,1.77748,129.69799999999998,25.8082,3.06735,26.4164,45.1523,129.007,0.062190499999999996,41.5645,18.2317,41.547
Skin_Sun_Exposed_Lower_leg,2.26546,21.2497,1.9520099999999998,31.248,2.49335,117.13,34.9539,3.89123,37.6506,57.7708,103.042,0.0487358,50.2858,17.6285,59.1766
Small_Intestine_Terminal_Ileum,6.30819,15.3334,5.12381,20.059,1.95282,29.3359,44.596000000000004,2.07651,49.2334,36.2718,39.9262,0.0551644,63.776,12.2451,5.83869
Spleen,3.92253,16.3,15.5046,14.9879,0.388394,18.9567,134.4,2.28757,71.2933,27.6355,18.8806,0.023465599999999996,51.581,12.8521,32.4616
Stomach,33.8834,17.8714,6.68268,7.65791,0.9995280000000001,21.1894,48.163000000000004,14.0981,30.5049,17.1878,67.5518,0.181445,50.3086,13.5597,1.71607
Testis,2.6270700000000002,8.74259,3.3636199999999996,7.8815800000000005,0.8377829999999999,8.32108,7.417660000000001,7.503189999999999,24.1141,8.325280000000001,33.6157,24.676,17.3098,8.73794,4.24744
Thyroid,6.18154,24.583000000000002,23.9588,32.7928,9.54325,138.458,149.975,6.16775,105.932,90.1715,183.275,0.212517,95.8059,14.8873,2.05945
Uterus,8.27398,22.6717,3.4736599999999997,31.1867,3.75236,63.2337,143.928,8.14028,129.201,83.44200000000001,100.411,0.278034,89.3479,16.0602,2.06703
Vagina,7.742089999999999,19.8559,2.9575400000000003,26.4423,3.11955,446.949,68.4582,5.142,59.9945,53.1522,111.844,0.09015160000000001,67.753,19.8115,28.6957
Whole_Blood,0.0252113,14.7023,0.361964,0.7525930000000001,0.044685199999999994,0.8317319999999999,0.21951500000000002,0.159145,0.757632,2.20791,3.50412,0.0,38.9607,1.68367,5.752269999999999
