Gene,CNS_specificity
CLDN5,0.8352436057413629
SOHLH2,0.6866156049625326
ANGPT2,0.46468203826511006
MCEE,0.3670980400286269
SERTAD1,0.3061082054074341
HEXB,0.2505668630708928
MECOM,0.20191634980548345
VWF,0.1649815070971455
CKMT2,0.1460483927354624
PROS1,0.11941921872383261
SLC37A2,0.1134301919905458
NR4A1,0.09403569941643475
TINAGL1,0.06816387307170406
EMP1,0.04005770174233877
FCN3,0.013992344512091404
