k,genes,lgbm_auc,lr_auc,best_individual_auc,synergy_score
2,CKMT2 | PSTPIP1,0.638,0.667,0.5891,0.0488
2,ENSG00000268955 | LOC102724652,0.6368,0.6579,0.5754,0.0614
2,OAS2 | XAF1,0.6365,0.6723,0.5739,0.0627
2,XAF1 | SHKBP1,0.6365,0.647,0.5739,0.0626
2,NDST1 | PSTPIP1,0.6353,0.6551,0.5845,0.0508
2,GUCY2D | ENSG00000280217,0.6342,0.6663,0.5943,0.0399
2,LSR | EDN3,0.6334,0.6504,0.563,0.0704
2,ENSG00000268955 | ENSG00000286241,0.6276,0.6596,0.5754,0.0522
2,MYH14 | C14orf93,0.6198,0.6493,0.5625,0.0573
2,SFRP1 | DACT2,0.6161,0.663,0.5875,0.0286
2,ENSG00000286065 | PSTPIP1,0.615,0.6844,0.5845,0.0305
2,MYH14 | SHKBP1,0.6004,0.6608,0.5624,0.038
2,OAS3 | OAS2,0.5984,0.6726,0.5569,0.0415
2,ROBO4 | EDN3,0.5952,0.626,0.5553,0.0399
2,ENSG00000286065 | GBP5,0.5948,0.6644,0.5845,0.0102
2,CKMT2 | SHKBP1,0.5909,0.6602,0.5891,0.0018
2,ABCG2 | EDN3,0.5878,0.6282,0.5523,0.0355
2,ENSG00000286065 | OAS2,0.576,0.6766,0.5845,-0.0085
