k,genes,lgbm_auc,lr_auc,best_individual_auc,synergy_score
3,OAS3 | BMP10 | OAS2,0.6344,0.68,0.5569,0.0775
3,OAS3 | OAS2 | LOC102724652,0.6299,0.6987,0.5692,0.0607
3,ABCG2 | OAS3 | OAS2,0.6297,0.6848,0.5569,0.0728
3,ENSG00000286065 | OAS3 | OAS2,0.6283,0.72,0.5845,0.0437
3,MYH14 | C14orf93 | SHKBP1,0.6281,0.6981,0.5625,0.0656
3,OAS3 | OAS2 | LSR,0.6271,0.687,0.563,0.0641
3,OAS3 | OAS2 | DPH1-AS1,0.6256,0.6871,0.5569,0.0688
3,CMAHP | MYH14 | SHKBP1,0.6253,0.6869,0.5624,0.0629
3,OAS3 | OAS2 | IFIT3,0.6244,0.6791,0.5569,0.0675
3,OAS3 | TNFRSF13B | OAS2,0.6221,0.6837,0.5575,0.0645
3,HSH2D | OAS3 | OAS2,0.6209,0.68,0.5569,0.064
3,ENSG00000286065 | OAS2 | XAF1,0.619,0.7134,0.5845,0.0345
3,OAS3 | ENSG00000286241 | OAS2,0.6187,0.6911,0.5582,0.0605
3,OAS3 | OAS2 | SNORA47,0.618,0.6796,0.5569,0.0611
3,OAS3 | OAS2 | CASS4,0.6103,0.69,0.5569,0.0534
3,OAS3 | OAS2 | CKLF-CMTM1,0.6098,0.6835,0.5569,0.0529
3,OAS3 | OAS2 | LINC02249,0.6082,0.6882,0.5569,0.0513
3,ADGRG5 | OAS3 | OAS2,0.6073,0.6845,0.5569,0.0504
3,OAS3 | OAS2 | ENSG00000280429,0.6062,0.6839,0.5569,0.0493
3,OAS3 | OAS2 | ENSG00000257878,0.6041,0.6789,0.5569,0.0473
3,OAS3 | OAS2 | ENSG00000272123,0.603,0.6895,0.5648,0.0382
3,SLFN13 | OAS3 | OAS2,0.6009,0.6789,0.5569,0.044
3,OAS3 | FAM30A | OAS2,0.5929,0.694,0.5569,0.036
3,OAS3 | OAS2 | ENSG00000251379,0.5916,0.6801,0.5569,0.0347
3,OAS3 | OAS2 | RPL7L1P9,0.591,0.697,0.5647,0.0262
3,OAS3 | CMAHP | OAS2,0.5887,0.6845,0.5569,0.0318
3,MAP3K2-DT | OAS3 | OAS2,0.582,0.6904,0.5569,0.0251
3,OAS3 | OAS2 | TRGC2,0.5769,0.6791,0.5569,0.02
